,Date,Crimes
436,2013-03-12,792.7225758227662
437,2013-03-13,802.0781897664566
438,2013-03-14,801.711794151607
439,2013-03-15,803.2526671045615
440,2013-03-16,805.6391311241317
441,2013-03-17,808.8262248295384
442,2013-03-18,809.4286620308341
443,2013-03-19,812.5430247570565
444,2013-03-20,815.7703685247523
445,2013-03-21,816.3277990441297
446,2013-03-22,815.2665745543338
447,2013-03-23,819.9190468640123
448,2013-03-24,818.8892613649072
449,2013-03-25,820.4831366508704
450,2013-03-26,822.8885138961082
451,2013-03-27,831.7342182155716
452,2013-03-28,830.376792226308
453,2013-03-29,831.6410564225524
454,2013-03-30,831.3798274026426
455,2013-03-31,828.5328546512781
456,2013-04-01,823.8409250492487
457,2013-04-02,825.2485673514525
458,2013-04-03,830.4741670252841
459,2013-04-04,831.536003080461
460,2013-04-05,829.5754603728119
461,2013-04-06,823.1812951595568
462,2013-04-07,828.0244626152182
463,2013-04-08,830.1096514077165
464,2013-04-09,832.8498040725559
465,2013-04-10,839.3866452241107
466,2013-04-11,843.1124600783543
467,2013-04-12,844.2953634283733
468,2013-04-13,844.6073523748954
469,2013-04-14,847.9885388117343
470,2013-04-15,849.2816371831583
471,2013-04-16,851.7568914358028
472,2013-04-17,856.9570092187648
473,2013-04-18,857.8091689505819
474,2013-04-19,858.4004167704647
475,2013-04-20,854.3210265238
476,2013-04-21,852.9948130195305
477,2013-04-22,851.3058279915571
478,2013-04-23,852.6434573829362
479,2013-04-24,858.0147228702631
480,2013-04-25,860.2465741013216
481,2013-04-26,860.4300890167217
482,2013-04-27,866.4188996353085
483,2013-04-28,871.5160252780184
484,2013-04-29,873.249609277656
485,2013-04-30,881.0134091372224
486,2013-05-01,889.448775736692
487,2013-05-02,894.5717683299558
488,2013-05-03,896.2921243969107
489,2013-05-04,899.2010917574398
490,2013-05-05,898.9369634646132
491,2013-05-06,899.9729778703756
492,2013-05-07,896.5240662302479
493,2013-05-08,903.1779655258149
494,2013-05-09,905.013386486652
495,2013-05-10,907.8138802690706
496,2013-05-11,909.4443815261774
497,2013-05-12,909.8915717230107
498,2013-05-13,908.2649437133163
499,2013-05-14,906.9027158032844
500,2013-05-15,909.2551360166528
501,2013-05-16,908.0353122380847
502,2013-05-17,906.1504224331062
503,2013-05-18,908.5211216561916
504,2013-05-19,903.5865138508053
505,2013-05-20,900.0652562911778
506,2013-05-21,899.1776031167007
507,2013-05-22,899.330675666475
508,2013-05-23,895.3869623320849
509,2013-05-24,891.9808149674786
510,2013-05-25,892.3443339599813
511,2013-05-26,889.4832046025781
512,2013-05-27,898.0276789961089
513,2013-05-28,896.7942195746043
514,2013-05-29,898.6427552152758
515,2013-05-30,902.3022039004102
516,2013-05-31,900.5025934902083
517,2013-06-01,898.8255000113073
518,2013-06-02,900.3539151509481
519,2013-06-03,902.6623706086028
520,2013-06-04,901.2667784094591
521,2013-06-05,901.2786020068226
522,2013-06-06,895.4411424947159
523,2013-06-07,894.8456137171672
524,2013-06-08,895.645088223951
525,2013-06-09,894.7426895286237
526,2013-06-10,897.0878615597003
527,2013-06-11,901.1941380325535
528,2013-06-12,905.7045686198828
529,2013-06-13,909.875806926526
530,2013-06-14,910.9426940587374
531,2013-06-15,915.4048109809779
532,2013-06-16,918.7034360913993
533,2013-06-17,919.8229857980745
534,2013-06-18,918.8198600194611
535,2013-06-19,920.823212303771
536,2013-06-20,918.0880427642571
537,2013-06-21,916.5354594667874
538,2013-06-22,913.3026342612335
539,2013-06-23,912.1386894380213
540,2013-06-24,912.8286257899205
541,2013-06-25,914.3181725520215
542,2013-06-26,915.266506602623
543,2013-06-27,918.5108835987044
544,2013-06-28,917.7995877596138
545,2013-06-29,918.3138009920767
546,2013-06-30,918.4145960270719
547,2013-07-01,917.6621894040453
548,2013-07-02,921.6088246619219
549,2013-07-03,923.9461142947561
550,2013-07-04,926.3019320935737
551,2013-07-05,925.507667217812
552,2013-07-06,927.1528686946292
553,2013-07-07,922.4422523726289
554,2013-07-08,918.4439058642143
555,2013-07-09,916.7231647375748
556,2013-07-10,919.5316994722234
557,2013-07-11,921.0307594735825
558,2013-07-12,922.4182654193569
559,2013-07-13,925.1819973272144
560,2013-07-14,926.409952660291
561,2013-07-15,924.6524496590906
562,2013-07-16,924.3916510000042
563,2013-07-17,926.3002106502795
564,2013-07-18,926.1608190445805
565,2013-07-19,927.3827719766967
566,2013-07-20,926.7076490973564
567,2013-07-21,926.92441504902
568,2013-07-22,928.2265056965998
569,2013-07-23,926.6705248136807
570,2013-07-24,927.661056875562
571,2013-07-25,926.6349860698813
572,2013-07-26,925.9190695145799
573,2013-07-27,932.1271829486325
574,2013-07-28,931.7590658904886
575,2013-07-29,931.0920292645172
576,2013-07-30,931.2152710140476
577,2013-07-31,932.763596004421
578,2013-08-01,931.7025753697521
579,2013-08-02,932.4499762168832
580,2013-08-03,931.7205146209242
581,2013-08-04,931.4307232326707
582,2013-08-05,928.5818025323154
583,2013-08-06,928.9944506104144
584,2013-08-07,922.9461822464651
585,2013-08-08,922.6495730367436
586,2013-08-09,923.8277877188428
587,2013-08-10,928.0719155586577
588,2013-08-11,926.5463770413642
589,2013-08-12,926.4032027905317
590,2013-08-13,925.1722349316901
591,2013-08-14,924.9180955400843
592,2013-08-15,924.5757321796459
593,2013-08-16,923.0502163129219
594,2013-08-17,925.0486987247547
595,2013-08-18,925.1130716437335
596,2013-08-19,925.4805997870662
597,2013-08-20,925.9151509660286
598,2013-08-21,928.0385286189763
599,2013-08-22,928.6872182835212
600,2013-08-23,925.7678769620873
601,2013-08-24,922.7149878819268
602,2013-08-25,919.3481166051143
603,2013-08-26,911.4663299281796
604,2013-08-27,910.2275476228047
605,2013-08-28,911.9563976533827
606,2013-08-29,910.8556252689575
607,2013-08-30,906.3812543885299
608,2013-08-31,900.8891254614875
609,2013-09-01,897.5600806360102
610,2013-09-02,892.2525312011419
611,2013-09-03,887.6168882647223
612,2013-09-04,890.1558132686858
613,2013-09-05,891.4437699607968
614,2013-09-06,882.4174499988497
615,2013-09-07,882.9874062832505
616,2013-09-08,881.5397177738845
617,2013-09-09,878.9607918638978
618,2013-09-10,878.1654624113622
619,2013-09-11,880.3064622075069
620,2013-09-12,881.5757774807862
621,2013-09-13,879.9263176968727
622,2013-09-14,877.4638157149478
623,2013-09-15,876.7941063217565
624,2013-09-16,872.9102357924128
625,2013-09-17,871.4945751885488
626,2013-09-18,870.9665904097316
627,2013-09-19,871.1126186323413
628,2013-09-20,871.4364311762267
629,2013-09-21,870.9589345171858
630,2013-09-22,869.3380824027553
631,2013-09-23,866.323495435893
632,2013-09-24,864.020815873502
633,2013-09-25,862.495300006778
634,2013-09-26,858.1029468390959
635,2013-09-27,862.9416294819644
636,2013-09-28,863.0635121973146
637,2013-09-29,860.9135427755837
638,2013-09-30,855.346281908973
639,2013-10-01,855.1220412693208
640,2013-10-02,853.8326349407517
641,2013-10-03,850.7203787175077
642,2013-10-04,845.9145394006491
643,2013-10-05,842.019909850716
644,2013-10-06,837.4958209698808
645,2013-10-07,830.3464404629611
646,2013-10-08,829.8589549026992
647,2013-10-09,829.2765634555543
648,2013-10-10,826.1806382930366
649,2013-10-11,823.3265079616588
650,2013-10-12,819.6653151826606
651,2013-10-13,817.6317243878522
652,2013-10-14,813.4067362794015
653,2013-10-15,811.7585222768191
654,2013-10-16,813.5118802237715
655,2013-10-17,815.9553104260409
656,2013-10-18,813.202926453584
657,2013-10-19,808.6428231669865
658,2013-10-20,808.122901990969
659,2013-10-21,802.206369340173
660,2013-10-22,800.9280391401685
661,2013-10-23,803.6254501800561
662,2013-10-24,802.3461686561257
663,2013-10-25,796.7098009014768
664,2013-10-26,792.959296926302
665,2013-10-27,797.8171193005347
666,2013-10-28,797.9802713538088
667,2013-10-29,803.1757004688509
668,2013-10-30,809.1633332578155
669,2013-10-31,812.8987066524562
670,2013-11-01,808.656866520177
671,2013-11-02,807.9547894629391
672,2013-11-03,811.914199642105
673,2013-11-04,810.8008108903778
674,2013-11-05,810.917144216161
675,2013-11-06,808.5227524972094
676,2013-11-07,807.3735758454163
677,2013-11-08,803.2903123513397
678,2013-11-09,799.3235407370337
679,2013-11-10,798.4802600285238
680,2013-11-11,798.9839180955242
681,2013-11-12,800.425264445385
682,2013-11-13,803.9606333099117
683,2013-11-14,804.3550929805725
